自定义SKU,ASIN（子Asin）,物品状况,价格,库存数量,发货方式,跟卖方式,跟卖时间,下架时间,备货周期(天)
 srsj5i67ab,B07Y9C4GMM,New,10.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 e3pk4n2rzn,B01EFX6VNW,New,16.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 d97cnw34d8,B00GLL2NG6,New,21.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 d6cdmpywx1,B018MX7JCI,New,100.2,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 dn98wtpsxf,B06WVCX6BN,New,61.95,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 py3y1k94jk,B00H6TTNC4,New,17.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 mmdk0zkwd1,B071K4Z2KN,New,56.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 c6mwjkaipn,B08B6BLQ9M,New,15.2,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 i8f2yrdxka,B07QPYZMH4,New,16.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 rs13x2yjd7,B01FH5W1RC,New,221.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 h7hcasz2xk,B07MKH9RDV,New,45.95,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 676an2m3ib,B01M6W9SGC,New,140,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 9n2cihbahz,B01MXES1XM,New,14.97,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 pi9s3ymhkz,B01H2DG1SW,New,13.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 9zpm5n2bxz,B07NZT2SCN,New,25.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 5xzdehhdnh,B0765158SJ,New,69.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 p3h74x3pfm,B00VXK3ZA8,New,86.86,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 j64rdxtm6f,B07YLKSZKF,New,26.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 7hbcz2wri0,B0787V6VGM,New,19.95,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 1i3cbyf0r2,B08532CYKS,New,14.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 nbknr9i3h1,B07M5T3X13,New,266.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 830xyh6zfb,B07QV9MZG2,New,21.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 fp5yjnyanz,B085XWM33W,New,39.51,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 8dppz42nm1,B07WGBNW9C,New,76.97,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
